sample_name	animal
SRR7450706	Wildebeest
SRR7450707	Wildebeest
SRR7450708	Buffalo
SRR7450709	Wildebeest
SRR7450710	Wildebeest
SRR7450711	Wildebeest
SRR7450712	Wildebeest
SRR7450713	Topi
SRR7450714	Wildebeest
SRR7450715	Wildebeest
SRR7450716	Wildebeest
SRR7450717	Wildebeest
SRR7450718	Sheep
SRR7450719	Buffalo
SRR7450720	Wildebeest
SRR7450721	Giraffe
SRR7450722	Eland
SRR7450723	Wildebeest
SRR7450724	Eland
SRR7450725	Wildebeest
SRR7450726	Eland
SRR7450727	Buffalo
SRR7450728	Buffalo
SRR7450729	Wildebeest
SRR7450730	Eland
SRR7450731	Buffalo
SRR7450732	Wildebeest
SRR7450733	Buffalo
SRR7450734	Wildebeest
SRR7450735	Topi
SRR7450736	Wildebeest
SRR7450737	Wildebeest
SRR7450738	Buffalo
SRR7450739	Buffalo
SRR7450740	Buffalo
SRR7450741	Buffalo
SRR7450742	Wildebeest
SRR7450743	Wildebeest
SRR7450744	Porcupine
SRR7450745	Wildebeest
SRR7450746	Buffalo
SRR7450747	Wildebeest
SRR7450748	Gazelle
SRR7450749	Buffalo
SRR7450750	Buffalo
SRR7450751	Rabbit
SRR7450752	Buffalo
SRR7450753	Warthog
SRR7450754	Wildebeest
SRR7450755	Wildebeest
SRR7450756	Buffalo
SRR7450757	Wildebeest
SRR7450758	Zebra
SRR7450759	Buffalo
SRR7450760	Wildebeest
SRR7450761	Wildebeest
SRR10245277	Wildebeest
SRR10245278	Pig
SRR10245279	Eland
SRR10245280	Gazelle
SRR10245281	Dikdik
SRR10245282	Zebra
SRR10245283	Buffalo
SRR10245284	Pig
SRR10245285	Zebra
SRR10245286	Wildebeest
SRR10245287	Hippo
SRR10245288	Impala
SRR10245289	Impala
SRR10245290	Hare
SRR10245291	Buffalo
SRR10245292	Cane Rat
SRR10245293	Pig
SRR10245294	Gazelle
SRR10245295	Zebra
SRR10245296	Cattle
SRR10245297	Wildebeest
SRR10245298	Impala
SRR10245299	Impala
SRR10245300	Impala
SRR10245301	Wildebeest
SRR10245302	Dikdik
SRR10245303	Dikdik
SRR10245304	Impala
SRR10245305	Dikdik
SRR10245306	Wildebeest
SRR10245307	Topi
SRR10245308	Zebra
SRR10245309	Wildebeest
SRR10245310	Wildebeest
SRR10245311	Wildebeest
SRR10245312	Impala
SRR10245313	Hare
SRR10245314	Cattle
SRR10245315	Cattle
SRR10245316	Cattle
SRR10245317	Cattle
SRR10245318	Cattle
SRR10245319	Zebra
SRR10245320	Cattle
SRR10245321	Cattle
SRR10245322	Cattle
SRR10245323	Wildebeest
SRR10245324	Dikdik
SRR10245325	Dikdik
SRR10245326	Dikdik
SRR10245327	Dikdik
SRR10245328	Dikdik
SRR10245329	Dikdik
SRR10245330	Impala
SRR10245331	Dikdik
SRR10245332	Dikdik
SRR10245333	Dikdik
SRR10245334	Dikdik
SRR10245335	Dikdik
SRR10245336	Dikdik
SRR10245337	Dikdik
SRR10245338	Dikdik
SRR10245339	Dikdik
SRR10245340	Buffalo
SRR10245341	Hippo
SRR10245342	Dikdik
SRR10245343	Dikdik
SRR10245344	Wildebeest
SRR10245345	Wildebeest
SRR10245346	Wildebeest
SRR10245347	Buffalo
SRR10245348	Wildebeest
SRR10245349	Wildebeest
SRR10245350	Wildebeest
SRR10245351	Wildebeest
SRR10245352	Hare
SRR10245353	Dikdik
